"ind","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Population","population"
"SIB",0.0208967,0.0567881,0.0979833,0.0844756,0.0139539,0.00821144,-0.0355404,-0.00371234,-0.082719,0.0590179,-0.123096,0.0516342,-0.00436973,0.0149913,-0.0636576,-0.0323846,0.0538527,0.0352274,-0.0518567,0.0207816,"SIB","SIB"
"SIB",0.0333658,-0.0162867,-0.00193384,-0.0152184,0.0796483,0.0802494,-0.240051,-0.00639554,0.00184205,0.0106944,0.0406659,-0.0476169,-0.00237773,0.0182403,0.0242053,0.0242557,-0.0086439,0.00518383,-0.00583391,0.0169108,"SIB","SIB"
"SIB",0.0341033,0.00572969,-0.0027275,-0.039474,0.00957546,0.0967809,-0.229544,-0.0296126,-0.00237062,-0.0446029,0.0244554,-0.00149065,-0.00593903,0.0140832,-0.0117575,0.0114181,-0.0207872,-0.00502973,-0.00564339,-0.00348136,"SIB","SIB"
"SIB",0.0325373,-0.00378521,-0.000715055,-0.0278551,0.0552444,0.0981981,-0.259067,-0.0218547,0.0021977,0.00334184,0.0289745,-0.0212398,-0.0213519,0.0113663,0.0106309,0.022573,-0.0158126,0.00159193,3.01505e-05,0.0179775,"SIB","SIB"
"SIB",0.0332254,-0.00696749,0.0042303,-0.0259335,0.0517766,0.123132,-0.276852,-0.0114969,-0.000256094,0.00439836,0.0553496,-0.0320461,0.00248892,0.0343721,0.0100557,0.0156399,-0.0178627,0.00819845,-0.0013716,0.00160994,"SIB","SIB"
"SIB",0.0352814,-0.00484471,-0.00999775,-0.0447043,0.0391409,0.103594,-0.2467,-0.0373491,0.0168656,-0.00830144,0.0324826,-0.0384042,-0.00497079,-0.00592894,0.00536467,0.0125851,-0.0115551,-0.0112959,-0.016049,0.029383,"SIB","SIB"
"SIB",0.0331149,-0.00856437,0.00322593,-0.0317079,0.0169558,0.0581368,-0.11268,-0.00157884,-0.0220457,-0.0384139,0.029783,0.00836779,0.0133962,0.0108614,-0.00238748,-0.0067386,-0.012114,-0.000581408,-0.0230253,-0.0062584,"SIB","SIB"
"SIB",0.0200861,0.0474913,0.110764,0.0770685,0.00189347,-0.0182052,-0.04113,-0.00769459,-0.0643654,0.0401064,-0.0778423,0.04517,-0.0174696,-0.0290208,-0.0862046,-0.0480921,0.120928,-0.0276086,-0.062813,-0.0229666,"SIB","SIB"
"SIB",0.0241778,0.0399464,0.0583893,0.0719546,0.0158038,0.0273128,-0.020517,0.00922845,-0.0823791,0.0860796,-0.152102,0.0521687,0.0291973,0.0550543,-0.0586198,-0.00865837,-0.00318162,0.100143,-0.0436662,0.0419847,"SIB","SIB"
"SIB",0.0332739,-0.0258987,0.00739747,-0.013885,0.00236751,-0.0464413,-0.0112304,0.0297287,-0.0116812,-0.0420027,-0.00478884,-0.0515227,-0.21361,0.0600078,0.0588678,-0.0442826,0.0923503,-0.00516118,0.0118459,0.00159332,"SIB","SIB"
"SIB",0.0322843,-0.00451116,0.00524068,0.00752311,0.034847,-0.0367974,0.022349,-0.00365142,-0.025729,-0.0179168,0.0474709,-0.00601659,-0.144764,0.101345,0.0501975,-0.0359315,0.10115,0.0585428,-0.0374936,0.00505552,"SIB","SIB"
"SIB",0.0324306,-0.0159006,0.0172783,-0.00490499,0.0240409,-0.0377274,0.0101401,0.0141697,-0.0349834,-0.0257646,0.0283124,-0.0555896,-0.264235,0.116233,0.0753521,-0.0549863,0.150763,0.0402579,-0.0212631,0.0105978,"SIB","SIB"
"SIB",0.0331743,-0.0251686,0.00764549,-0.0126211,0.00112777,-0.0469755,-0.00989241,0.0301402,-0.0122681,-0.0422994,-0.00568194,-0.0514827,-0.213673,0.0605751,0.058942,-0.0449085,0.0921144,-0.00557601,0.0117835,0.00224742,"SIB","SIB"
